@relation polemon

@attribute grade {1, 2, 3}
@attribute city string
@attribute area string
@attribute chinese string
@attribute english string
@attribute math string
@attribute history string
@attribute geography string
@attribute citizen string
@attribute physics string
@attribute chemical string
@attribute biology string
@attribute earthscience string

@data
2,台南市,麻豆區,三民,三民,龍騰,三民,翰林,翰林,?,?,?,三民
2,台南市,善化區,康熹,龍騰,龍騰,翰林,龍騰,南一,?,?,?,三民
2,台南市,新化區,翰林,三民,南一,三民,龍騰,翰林,?,?,?,泰宇
2,台南市,新營區,翰林,三民,龍騰,翰林,龍騰,翰林,?,?,?,南一
2,台南市,新營區,翰林,三民,南一,三民,龍騰,三民,?,?,?,康熹
2,台南市,歸仁區,翰林,三民,全華,南一,翰林,南一,?,?,?,全華
2,台南市,鹽水區,南一,三民,龍騰,泰宇,南一,南一,?,?,?,南一
3,台南市,中西區,龍騰,三民,?,三民,龍騰,翰林,龍騰,翰林,?,南一
3,台南市,中西區,龍騰,?,?,康熹,翰林,龍騰,翰林,南一,?,泰宇
3,台南市,北區,翰林,三民,?,三民,龍騰,三民,龍騰,南一,?,龍騰
3,台南市,北區,翰林,三民,?,三民,龍騰,南一,南一,康熹,?,康熹
3,台南市,永康區,三民,龍騰,?,三民,龍騰,南一,龍騰,泰宇,?,泰宇
3,台南市,永康區,翰林,遠東,?,三民,翰林/龍騰,南一,龍騰,泰宇,?,泰宇
3,台南市,永康區,翰林,三民,?,南一,龍騰,南一,翰林,龍騰,?,康熹
3,台南市,安平區,翰林,三民,?,三民,龍騰,龍騰,翰林,翰林,?,龍騰
3,台南市,安南區,康熹,三民,?,三民,翰林,翰林,翰林,康熹,?,康熹
3,台南市,安南區,三民,三民,?,三民,龍騰,南一,南一,南一,?,翰林
3,台南市,西港區,三民,三民,?,康熹,龍騰,三民,翰林,翰林,?,龍騰
3,台南市,佳里區,三民,三民,?,三民,翰林,南一,康熹,龍騰,?,翰林
3,台南市,東區,翰林,遠東,?,三民,龍騰,翰林,南一,翰林,?,康熹
3,台南市,東區,三民,三民,?,三民,翰林,南一,龍騰,康熹,?,康熹
3,台南市,東區,三民,三民,?,康熹,龍騰,其他,翰林,南一,?,翰林
3,台南市,南區,翰林,三民,?,三民,其他,南一,南一,南一,?,康熹
3,台南市,麻豆區,康熹,三民,?,翰林,翰林,其他,龍騰,泰宇,?,泰宇
